timestamp,agent_id,event_type,tool,call_count,reason,checkpoint,risk_score,decision
2026-02-27T13:23:42.806096,aml-screener,CHECKPOINT,,14,,cp-aml-screener-14,,checkpoint
2026-02-27T13:23:42.806134,aml-screener,ALLOWED,screen_pep,15,,,,allowed
2026-02-27T13:23:42.806182,aml-filer,ALLOWED,generate_sar,3,,,,allowed
2026-02-27T13:23:42.806188,aml-filer,CHECKPOINT,,3,,cp-aml-filer-3,,checkpoint
2026-02-27T13:23:42.806299,aml-filer,BLOCKED,submit_sar,,SAR submission requires human approval (BSA/AML §5318(g)),,,blocked
2026-02-27T13:23:42.806414,aml-monitor,ALLOWED,scan_transaction,9,,,,allowed
2026-02-27T13:23:42.806422,aml-monitor,CHECKPOINT,,9,,cp-aml-monitor-9,,checkpoint
2026-02-27T13:23:42.806495,aml-velocity,ALLOWED,check_daily_velocity,7,,,,allowed
2026-02-27T13:23:42.806548,aml-velocity,ALLOWED,detect_activity_spike,8,,,,allowed
2026-02-27T13:23:42.806580,aml-screener,ALLOWED,screen_ofac,16,,,,allowed
2026-02-27T13:23:42.806586,aml-screener,CHECKPOINT,,16,,cp-aml-screener-16,,checkpoint
2026-02-27T13:23:42.806993,aml-screener,ALLOWED,screen_country,17,,,,allowed
2026-02-27T13:23:42.807024,aml-screener,ALLOWED,screen_pep,18,,,,allowed
2026-02-27T13:23:42.807031,aml-screener,CHECKPOINT,,18,,cp-aml-screener-18,,checkpoint
2026-02-27T13:23:42.807086,aml-filer,ALLOWED,generate_sar,4,,,,allowed
2026-02-27T13:23:42.807092,aml-filer,CHECKPOINT,,4,,cp-aml-filer-4,,checkpoint
2026-02-27T13:23:42.807199,aml-filer,BLOCKED,submit_sar,,SAR submission requires human approval (BSA/AML §5318(g)),,,blocked
2026-02-27T13:23:42.807315,aml-monitor,ALLOWED,scan_transaction,10,,,,allowed
2026-02-27T13:23:42.807360,aml-monitor,ALLOWED,score_geographic_risk,11,,,,allowed
2026-02-27T13:23:42.807392,aml-velocity,ALLOWED,check_daily_velocity,9,,,,allowed
2026-02-27T13:23:42.807398,aml-velocity,CHECKPOINT,,9,,cp-aml-velocity-9,,checkpoint
2026-02-27T13:23:42.807467,aml-velocity,ALLOWED,detect_activity_spike,10,,,,allowed
2026-02-27T13:23:42.807582,aml-screener,ALLOWED,screen_ofac,19,,,,allowed
2026-02-27T13:23:42.808005,aml-screener,ALLOWED,screen_country,20,,,,allowed
2026-02-27T13:23:42.808012,aml-screener,CHECKPOINT,,20,,cp-aml-screener-20,,checkpoint
2026-02-27T13:23:42.808059,aml-screener,ALLOWED,screen_pep,21,,,,allowed
2026-02-27T13:23:42.808098,aml-filer,ALLOWED,generate_sar,5,,,,allowed
2026-02-27T13:23:42.808105,aml-filer,CHECKPOINT,,5,,cp-aml-filer-5,,checkpoint
2026-02-27T13:23:42.808199,aml-filer,BLOCKED,submit_sar,,SAR submission requires human approval (BSA/AML §5318(g)),,,blocked
2026-02-27T13:23:42.808316,aml-monitor,ALLOWED,scan_transaction,12,,,,allowed
2026-02-27T13:23:42.808323,aml-monitor,CHECKPOINT,,12,,cp-aml-monitor-12,,checkpoint
2026-02-27T13:23:42.808366,aml-monitor,ALLOWED,score_geographic_risk,13,,,,allowed
2026-02-27T13:23:42.808404,aml-velocity,ALLOWED,check_daily_velocity,11,,,,allowed
2026-02-27T13:23:42.808446,aml-velocity,ALLOWED,detect_activity_spike,12,,,,allowed
2026-02-27T13:23:42.808452,aml-velocity,CHECKPOINT,,12,,cp-aml-velocity-12,,checkpoint
2026-02-27T13:23:42.808500,aml-screener,ALLOWED,screen_ofac,22,,,,allowed
2026-02-27T13:23:42.808507,aml-screener,CHECKPOINT,,22,,cp-aml-screener-22,,checkpoint
2026-02-27T13:23:42.808830,aml-screener,ALLOWED,screen_country,23,,,,allowed
2026-02-27T13:23:42.808870,aml-screener,ALLOWED,screen_pep,24,,,,allowed
2026-02-27T13:23:42.808877,aml-screener,CHECKPOINT,,24,,cp-aml-screener-24,,checkpoint
2026-02-27T13:23:42.808919,aml-filer,ALLOWED,generate_sar,6,,,,allowed
2026-02-27T13:23:42.808925,aml-filer,CHECKPOINT,,6,,cp-aml-filer-6,,checkpoint
2026-02-27T13:23:42.809001,aml-filer,BLOCKED,submit_sar,,SAR submission requires human approval (BSA/AML §5318(g)),,,blocked
